centro,statistica,mean
biglietteria,utilization,0.769
biglietteria,utilization,0.772
biglietteria,utilization,0.810
biglietteria,utilization,0.750
biglietteria,utilization,0.699
biglietteria,utilization,0.714
biglietteria,utilization,0.713
biglietteria,utilization,0.753
biglietteria,utilization,0.767
biglietteria,utilization,0.747
biglietteria,utilization,0.699
biglietteria,utilization,0.757
biglietteria,utilization,0.715
biglietteria,utilization,0.734
biglietteria,utilization,0.738
biglietteria,utilization,0.752
biglietteria,utilization,0.826
biglietteria,utilization,0.789
biglietteria,utilization,0.733
biglietteria,utilization,0.724
biglietteria,utilization,0.752
biglietteria,utilization,0.717
biglietteria,utilization,0.732
biglietteria,utilization,0.743
biglietteria,utilization,0.729
biglietteria,utilization,0.839
biglietteria,utilization,0.690
biglietteria,utilization,0.750
biglietteria,utilization,0.761
biglietteria,utilization,0.748
biglietteria,utilization,0.803
biglietteria,utilization,0.825
biglietteria,utilization,0.738
biglietteria,utilization,0.740
biglietteria,utilization,0.769
biglietteria,utilization,0.692
biglietteria,utilization,0.791
biglietteria,utilization,0.703
biglietteria,utilization,0.818
biglietteria,utilization,0.775
biglietteria,utilization,0.760
biglietteria,utilization,0.725
biglietteria,utilization,0.715
biglietteria,utilization,0.733
biglietteria,utilization,0.774
biglietteria,utilization,0.749
biglietteria,utilization,0.786
biglietteria,utilization,0.757
biglietteria,utilization,0.734
biglietteria,utilization,0.789
biglietteria,utilization,0.735
biglietteria,utilization,0.753
biglietteria,utilization,0.766
biglietteria,utilization,0.757
biglietteria,utilization,0.751
biglietteria,utilization,0.714
biglietteria,utilization,0.777
biglietteria,utilization,0.764
biglietteria,utilization,0.749
biglietteria,utilization,0.733
biglietteria,utilization,0.737
biglietteria,utilization,0.803
biglietteria,utilization,0.741
biglietteria,utilization,0.763
biglietteria,utilization,0.752
biglietteria,utilization,0.703
biglietteria,utilization,0.768
biglietteria,utilization,0.714
biglietteria,utilization,0.753
biglietteria,utilization,0.735
biglietteria,utilization,0.747
biglietteria,utilization,0.766
biglietteria,utilization,0.821
biglietteria,utilization,0.733
biglietteria,utilization,0.715
biglietteria,utilization,0.705
biglietteria,utilization,0.795
biglietteria,utilization,0.713
biglietteria,utilization,0.787
biglietteria,utilization,0.800
biglietteria,utilization,0.757
biglietteria,utilization,0.803
biglietteria,utilization,0.769
biglietteria,utilization,0.766
biglietteria,utilization,0.709
biglietteria,utilization,0.834
biglietteria,utilization,0.730
biglietteria,utilization,0.751
biglietteria,utilization,0.748
biglietteria,utilization,0.731
biglietteria,utilization,0.757
biglietteria,utilization,0.832
biglietteria,utilization,0.731
biglietteria,utilization,0.743
biglietteria,utilization,0.761
biglietteria,utilization,0.751
biglietteria,utilization,0.747
biglietteria,utilization,0.796
biglietteria,utilization,0.772
biglietteria,utilization,0.712
biglietteria,utilization,0.791
biglietteria,utilization,0.726
biglietteria,utilization,0.747
biglietteria,utilization,0.777
biglietteria,utilization,0.712
biglietteria,utilization,0.706
biglietteria,utilization,0.770
biglietteria,utilization,0.704
biglietteria,utilization,0.747
biglietteria,utilization,0.773
biglietteria,utilization,0.757
biglietteria,utilization,0.782
biglietteria,utilization,0.732
biglietteria,utilization,0.797
biglietteria,utilization,0.759
biglietteria,utilization,0.771
biglietteria,utilization,0.792
biglietteria,utilization,0.764
biglietteria,utilization,0.673
biglietteria,utilization,0.729
biglietteria,utilization,0.732
biglietteria,utilization,0.783
biglietteria,utilization,0.802
biglietteria,utilization,0.728
biglietteria,utilization,0.718
biglietteria,utilization,0.781
biglietteria,utilization,0.734
biglietteria,utilization,0.789
controlloBiglietti,utilization,0.507
controlloBiglietti,utilization,0.517
controlloBiglietti,utilization,0.517
controlloBiglietti,utilization,0.575
controlloBiglietti,utilization,0.553
controlloBiglietti,utilization,0.535
controlloBiglietti,utilization,0.544
controlloBiglietti,utilization,0.540
controlloBiglietti,utilization,0.539
controlloBiglietti,utilization,0.523
controlloBiglietti,utilization,0.553
controlloBiglietti,utilization,0.573
controlloBiglietti,utilization,0.520
controlloBiglietti,utilization,0.524
controlloBiglietti,utilization,0.510
controlloBiglietti,utilization,0.480
controlloBiglietti,utilization,0.541
controlloBiglietti,utilization,0.535
controlloBiglietti,utilization,0.519
controlloBiglietti,utilization,0.545
controlloBiglietti,utilization,0.473
controlloBiglietti,utilization,0.577
controlloBiglietti,utilization,0.552
controlloBiglietti,utilization,0.578
controlloBiglietti,utilization,0.553
controlloBiglietti,utilization,0.549
controlloBiglietti,utilization,0.545
controlloBiglietti,utilization,0.495
controlloBiglietti,utilization,0.534
controlloBiglietti,utilization,0.528
controlloBiglietti,utilization,0.530
controlloBiglietti,utilization,0.497
controlloBiglietti,utilization,0.570
controlloBiglietti,utilization,0.575
controlloBiglietti,utilization,0.552
controlloBiglietti,utilization,0.594
controlloBiglietti,utilization,0.501
controlloBiglietti,utilization,0.548
controlloBiglietti,utilization,0.530
controlloBiglietti,utilization,0.511
controlloBiglietti,utilization,0.531
controlloBiglietti,utilization,0.539
controlloBiglietti,utilization,0.572
controlloBiglietti,utilization,0.552
controlloBiglietti,utilization,0.529
controlloBiglietti,utilization,0.526
controlloBiglietti,utilization,0.579
controlloBiglietti,utilization,0.534
controlloBiglietti,utilization,0.528
controlloBiglietti,utilization,0.511
controlloBiglietti,utilization,0.509
controlloBiglietti,utilization,0.498
controlloBiglietti,utilization,0.531
controlloBiglietti,utilization,0.534
controlloBiglietti,utilization,0.542
controlloBiglietti,utilization,0.540
controlloBiglietti,utilization,0.512
controlloBiglietti,utilization,0.528
controlloBiglietti,utilization,0.508
controlloBiglietti,utilization,0.522
controlloBiglietti,utilization,0.523
controlloBiglietti,utilization,0.535
controlloBiglietti,utilization,0.526
controlloBiglietti,utilization,0.503
controlloBiglietti,utilization,0.562
controlloBiglietti,utilization,0.555
controlloBiglietti,utilization,0.554
controlloBiglietti,utilization,0.546
controlloBiglietti,utilization,0.543
controlloBiglietti,utilization,0.514
controlloBiglietti,utilization,0.562
controlloBiglietti,utilization,0.513
controlloBiglietti,utilization,0.548
controlloBiglietti,utilization,0.524
controlloBiglietti,utilization,0.523
controlloBiglietti,utilization,0.606
controlloBiglietti,utilization,0.525
controlloBiglietti,utilization,0.551
controlloBiglietti,utilization,0.535
controlloBiglietti,utilization,0.506
controlloBiglietti,utilization,0.557
controlloBiglietti,utilization,0.569
controlloBiglietti,utilization,0.559
controlloBiglietti,utilization,0.551
controlloBiglietti,utilization,0.551
controlloBiglietti,utilization,0.543
controlloBiglietti,utilization,0.536
controlloBiglietti,utilization,0.539
controlloBiglietti,utilization,0.507
controlloBiglietti,utilization,0.555
controlloBiglietti,utilization,0.529
controlloBiglietti,utilization,0.559
controlloBiglietti,utilization,0.558
controlloBiglietti,utilization,0.552
controlloBiglietti,utilization,0.496
controlloBiglietti,utilization,0.544
controlloBiglietti,utilization,0.567
controlloBiglietti,utilization,0.566
controlloBiglietti,utilization,0.547
controlloBiglietti,utilization,0.538
controlloBiglietti,utilization,0.556
controlloBiglietti,utilization,0.541
controlloBiglietti,utilization,0.541
controlloBiglietti,utilization,0.556
controlloBiglietti,utilization,0.542
controlloBiglietti,utilization,0.535
controlloBiglietti,utilization,0.570
controlloBiglietti,utilization,0.474
controlloBiglietti,utilization,0.577
controlloBiglietti,utilization,0.521
controlloBiglietti,utilization,0.536
controlloBiglietti,utilization,0.544
controlloBiglietti,utilization,0.573
controlloBiglietti,utilization,0.548
controlloBiglietti,utilization,0.513
controlloBiglietti,utilization,0.559
controlloBiglietti,utilization,0.519
controlloBiglietti,utilization,0.561
controlloBiglietti,utilization,0.536
controlloBiglietti,utilization,0.519
controlloBiglietti,utilization,0.510
controlloBiglietti,utilization,0.536
controlloBiglietti,utilization,0.521
controlloBiglietti,utilization,0.552
controlloBiglietti,utilization,0.528
controlloBiglietti,utilization,0.563
controlloBiglietti,utilization,0.547
controlloBiglietti,utilization,0.538
cassaFoodArea,utilization,0.881
cassaFoodArea,utilization,0.956
cassaFoodArea,utilization,0.919
cassaFoodArea,utilization,0.853
cassaFoodArea,utilization,0.868
cassaFoodArea,utilization,0.871
cassaFoodArea,utilization,0.940
cassaFoodArea,utilization,0.855
cassaFoodArea,utilization,0.853
cassaFoodArea,utilization,0.905
cassaFoodArea,utilization,0.901
cassaFoodArea,utilization,0.903
cassaFoodArea,utilization,0.877
cassaFoodArea,utilization,0.884
cassaFoodArea,utilization,0.858
cassaFoodArea,utilization,0.786
cassaFoodArea,utilization,0.841
cassaFoodArea,utilization,0.895
cassaFoodArea,utilization,0.959
cassaFoodArea,utilization,0.867
cassaFoodArea,utilization,0.846
cassaFoodArea,utilization,0.855
cassaFoodArea,utilization,0.862
cassaFoodArea,utilization,0.879
cassaFoodArea,utilization,0.899
cassaFoodArea,utilization,0.923
cassaFoodArea,utilization,0.962
cassaFoodArea,utilization,0.886
cassaFoodArea,utilization,0.931
cassaFoodArea,utilization,0.852
cassaFoodArea,utilization,0.900
cassaFoodArea,utilization,0.903
cassaFoodArea,utilization,0.859
cassaFoodArea,utilization,0.882
cassaFoodArea,utilization,0.910
cassaFoodArea,utilization,0.974
cassaFoodArea,utilization,0.877
cassaFoodArea,utilization,0.894
cassaFoodArea,utilization,0.896
cassaFoodArea,utilization,0.938
cassaFoodArea,utilization,0.858
cassaFoodArea,utilization,0.825
cassaFoodArea,utilization,0.885
cassaFoodArea,utilization,0.874
cassaFoodArea,utilization,0.877
cassaFoodArea,utilization,0.930
cassaFoodArea,utilization,0.891
cassaFoodArea,utilization,0.844
cassaFoodArea,utilization,0.862
cassaFoodArea,utilization,0.921
cassaFoodArea,utilization,0.882
cassaFoodArea,utilization,0.930
cassaFoodArea,utilization,0.846
cassaFoodArea,utilization,0.902
cassaFoodArea,utilization,0.908
cassaFoodArea,utilization,0.838
cassaFoodArea,utilization,0.932
cassaFoodArea,utilization,0.914
cassaFoodArea,utilization,0.868
cassaFoodArea,utilization,0.898
cassaFoodArea,utilization,0.861
cassaFoodArea,utilization,0.928
cassaFoodArea,utilization,0.851
cassaFoodArea,utilization,0.874
cassaFoodArea,utilization,0.892
cassaFoodArea,utilization,0.825
cassaFoodArea,utilization,0.874
cassaFoodArea,utilization,0.893
cassaFoodArea,utilization,0.935
cassaFoodArea,utilization,0.871
cassaFoodArea,utilization,0.929
cassaFoodArea,utilization,0.888
cassaFoodArea,utilization,0.924
cassaFoodArea,utilization,0.880
cassaFoodArea,utilization,0.970
cassaFoodArea,utilization,0.969
cassaFoodArea,utilization,0.881
cassaFoodArea,utilization,0.890
cassaFoodArea,utilization,0.858
cassaFoodArea,utilization,0.929
cassaFoodArea,utilization,0.889
cassaFoodArea,utilization,0.888
cassaFoodArea,utilization,0.883
cassaFoodArea,utilization,0.951
cassaFoodArea,utilization,0.892
cassaFoodArea,utilization,0.853
cassaFoodArea,utilization,0.891
cassaFoodArea,utilization,0.911
cassaFoodArea,utilization,0.871
cassaFoodArea,utilization,0.900
cassaFoodArea,utilization,0.853
cassaFoodArea,utilization,0.914
cassaFoodArea,utilization,0.950
cassaFoodArea,utilization,0.804
cassaFoodArea,utilization,0.935
cassaFoodArea,utilization,0.824
cassaFoodArea,utilization,0.880
cassaFoodArea,utilization,0.906
cassaFoodArea,utilization,0.953
cassaFoodArea,utilization,0.900
cassaFoodArea,utilization,0.895
cassaFoodArea,utilization,0.831
cassaFoodArea,utilization,0.886
cassaFoodArea,utilization,0.918
cassaFoodArea,utilization,0.874
cassaFoodArea,utilization,0.908
cassaFoodArea,utilization,0.864
cassaFoodArea,utilization,0.832
cassaFoodArea,utilization,0.846
cassaFoodArea,utilization,0.877
cassaFoodArea,utilization,0.828
cassaFoodArea,utilization,0.875
cassaFoodArea,utilization,0.900
cassaFoodArea,utilization,0.908
cassaFoodArea,utilization,0.917
cassaFoodArea,utilization,0.914
cassaFoodArea,utilization,0.941
cassaFoodArea,utilization,0.881
cassaFoodArea,utilization,0.927
cassaFoodArea,utilization,0.936
cassaFoodArea,utilization,0.919
cassaFoodArea,utilization,0.866
cassaFoodArea,utilization,0.897
cassaFoodArea,utilization,0.896
cassaFoodArea,utilization,0.855
cassaFoodArea,utilization,0.874
cassaFoodArea,utilization,0.910
cassaFoodArea,utilization,0.844
foodArea,utilization,0.882
foodArea,utilization,0.892
foodArea,utilization,0.956
foodArea,utilization,0.856
foodArea,utilization,0.815
foodArea,utilization,0.869
foodArea,utilization,0.882
foodArea,utilization,0.893
foodArea,utilization,0.884
foodArea,utilization,0.916
foodArea,utilization,0.886
foodArea,utilization,0.899
foodArea,utilization,0.844
foodArea,utilization,0.897
foodArea,utilization,0.894
foodArea,utilization,0.822
foodArea,utilization,0.922
foodArea,utilization,0.932
foodArea,utilization,0.897
foodArea,utilization,0.841
foodArea,utilization,0.866
foodArea,utilization,0.863
foodArea,utilization,0.868
foodArea,utilization,0.867
foodArea,utilization,0.911
foodArea,utilization,0.864
foodArea,utilization,0.889
foodArea,utilization,0.827
foodArea,utilization,0.944
foodArea,utilization,0.844
foodArea,utilization,0.906
foodArea,utilization,0.860
foodArea,utilization,0.898
foodArea,utilization,0.883
foodArea,utilization,0.877
foodArea,utilization,0.947
foodArea,utilization,0.839
foodArea,utilization,0.837
foodArea,utilization,0.906
foodArea,utilization,0.962
foodArea,utilization,0.905
foodArea,utilization,0.798
foodArea,utilization,0.861
foodArea,utilization,0.871
foodArea,utilization,0.840
foodArea,utilization,0.890
foodArea,utilization,0.882
foodArea,utilization,0.881
foodArea,utilization,0.840
foodArea,utilization,0.889
foodArea,utilization,0.885
foodArea,utilization,0.876
foodArea,utilization,0.820
foodArea,utilization,0.895
foodArea,utilization,0.913
foodArea,utilization,0.857
foodArea,utilization,0.892
foodArea,utilization,0.888
foodArea,utilization,0.920
foodArea,utilization,0.924
foodArea,utilization,0.923
foodArea,utilization,0.904
foodArea,utilization,0.887
foodArea,utilization,0.902
foodArea,utilization,0.950
foodArea,utilization,0.855
foodArea,utilization,0.805
foodArea,utilization,0.838
foodArea,utilization,0.940
foodArea,utilization,0.852
foodArea,utilization,0.881
foodArea,utilization,0.931
foodArea,utilization,0.949
foodArea,utilization,0.881
foodArea,utilization,0.909
foodArea,utilization,0.958
foodArea,utilization,0.847
foodArea,utilization,0.871
foodArea,utilization,0.846
foodArea,utilization,0.867
foodArea,utilization,0.920
foodArea,utilization,1.000
foodArea,utilization,0.879
foodArea,utilization,0.907
foodArea,utilization,0.901
foodArea,utilization,0.872
foodArea,utilization,0.879
foodArea,utilization,0.835
foodArea,utilization,0.866
foodArea,utilization,0.877
foodArea,utilization,0.859
foodArea,utilization,0.929
foodArea,utilization,0.871
foodArea,utilization,0.815
foodArea,utilization,0.874
foodArea,utilization,0.887
foodArea,utilization,0.867
foodArea,utilization,0.823
foodArea,utilization,0.901
foodArea,utilization,0.919
foodArea,utilization,0.892
foodArea,utilization,0.853
foodArea,utilization,0.889
foodArea,utilization,0.931
foodArea,utilization,0.865
foodArea,utilization,0.899
foodArea,utilization,0.907
foodArea,utilization,0.838
foodArea,utilization,0.875
foodArea,utilization,0.911
foodArea,utilization,0.860
foodArea,utilization,0.893
foodArea,utilization,0.932
foodArea,utilization,0.903
foodArea,utilization,0.948
foodArea,utilization,0.847
foodArea,utilization,0.886
foodArea,utilization,0.988
foodArea,utilization,0.934
foodArea,utilization,0.893
foodArea,utilization,0.920
foodArea,utilization,0.835
foodArea,utilization,0.895
foodArea,utilization,0.904
foodArea,utilization,0.802
foodArea,utilization,0.900
foodArea,utilization,0.892
foodArea,utilization,0.920
gadgetsArea,utilization,0.770
gadgetsArea,utilization,0.750
gadgetsArea,utilization,0.726
gadgetsArea,utilization,0.723
gadgetsArea,utilization,0.784
gadgetsArea,utilization,0.778
gadgetsArea,utilization,0.771
gadgetsArea,utilization,0.702
gadgetsArea,utilization,0.706
gadgetsArea,utilization,0.740
gadgetsArea,utilization,0.757
gadgetsArea,utilization,0.732
gadgetsArea,utilization,0.716
gadgetsArea,utilization,0.798
gadgetsArea,utilization,0.691
gadgetsArea,utilization,0.680
gadgetsArea,utilization,0.704
gadgetsArea,utilization,0.696
gadgetsArea,utilization,0.766
gadgetsArea,utilization,0.772
gadgetsArea,utilization,0.745
gadgetsArea,utilization,0.754
gadgetsArea,utilization,0.693
gadgetsArea,utilization,0.732
gadgetsArea,utilization,0.709
gadgetsArea,utilization,0.749
gadgetsArea,utilization,0.726
gadgetsArea,utilization,0.799
gadgetsArea,utilization,0.692
gadgetsArea,utilization,0.765
gadgetsArea,utilization,0.711
gadgetsArea,utilization,0.760
gadgetsArea,utilization,0.691
gadgetsArea,utilization,0.718
gadgetsArea,utilization,0.750
gadgetsArea,utilization,0.750
gadgetsArea,utilization,0.782
gadgetsArea,utilization,0.681
gadgetsArea,utilization,0.762
gadgetsArea,utilization,0.713
gadgetsArea,utilization,0.731
gadgetsArea,utilization,0.781
gadgetsArea,utilization,0.711
gadgetsArea,utilization,0.715
gadgetsArea,utilization,0.717
gadgetsArea,utilization,0.706
gadgetsArea,utilization,0.780
gadgetsArea,utilization,0.761
gadgetsArea,utilization,0.734
gadgetsArea,utilization,0.704
gadgetsArea,utilization,0.707
gadgetsArea,utilization,0.723
gadgetsArea,utilization,0.739
gadgetsArea,utilization,0.743
gadgetsArea,utilization,0.772
gadgetsArea,utilization,0.711
gadgetsArea,utilization,0.738
gadgetsArea,utilization,0.718
gadgetsArea,utilization,0.702
gadgetsArea,utilization,0.750
gadgetsArea,utilization,0.751
gadgetsArea,utilization,0.752
gadgetsArea,utilization,0.757
gadgetsArea,utilization,0.705
gadgetsArea,utilization,0.663
gadgetsArea,utilization,0.775
gadgetsArea,utilization,0.729
gadgetsArea,utilization,0.778
gadgetsArea,utilization,0.716
gadgetsArea,utilization,0.722
gadgetsArea,utilization,0.729
gadgetsArea,utilization,0.728
gadgetsArea,utilization,0.784
gadgetsArea,utilization,0.733
gadgetsArea,utilization,0.762
gadgetsArea,utilization,0.726
gadgetsArea,utilization,0.708
gadgetsArea,utilization,0.746
gadgetsArea,utilization,0.735
gadgetsArea,utilization,0.775
gadgetsArea,utilization,0.783
gadgetsArea,utilization,0.741
gadgetsArea,utilization,0.706
gadgetsArea,utilization,0.789
gadgetsArea,utilization,0.725
gadgetsArea,utilization,0.749
gadgetsArea,utilization,0.674
gadgetsArea,utilization,0.728
gadgetsArea,utilization,0.726
gadgetsArea,utilization,0.711
gadgetsArea,utilization,0.709
gadgetsArea,utilization,0.716
gadgetsArea,utilization,0.709
gadgetsArea,utilization,0.707
gadgetsArea,utilization,0.723
gadgetsArea,utilization,0.721
gadgetsArea,utilization,0.723
gadgetsArea,utilization,0.705
gadgetsArea,utilization,0.752
gadgetsArea,utilization,0.740
gadgetsArea,utilization,0.721
gadgetsArea,utilization,0.757
gadgetsArea,utilization,0.851
gadgetsArea,utilization,0.727
gadgetsArea,utilization,0.727
gadgetsArea,utilization,0.731
gadgetsArea,utilization,0.743
gadgetsArea,utilization,0.701
gadgetsArea,utilization,0.726
gadgetsArea,utilization,0.767
gadgetsArea,utilization,0.725
gadgetsArea,utilization,0.735
gadgetsArea,utilization,0.714
gadgetsArea,utilization,0.728
gadgetsArea,utilization,0.761
gadgetsArea,utilization,0.733
gadgetsArea,utilization,0.751
gadgetsArea,utilization,0.739
gadgetsArea,utilization,0.697
gadgetsArea,utilization,0.715
gadgetsArea,utilization,0.735
gadgetsArea,utilization,0.719
gadgetsArea,utilization,0.705
gadgetsArea,utilization,0.775
gadgetsArea,utilization,0.734
gadgetsArea,utilization,0.745
gadgetsArea,utilization,0.761
gadgetsArea,utilization,0.715
